Fecha Declaración;Nombre;Apellido Paterno;Apellido Materno;Cargo;Tipo Declaración;Institución
2018-04-07T00:00:00Z;MARIA JOSE;ESCOBAR;OPAZO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-08-14T00:00:00Z;REINALDO ESTEBAN;ESTAY;ZÚÑIGA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-08-16T00:00:00Z;FERNANDO PATRICIO;LEPE;MIRANDA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-08-16T00:00:00Z;CARLOS RODRIGO;CARAMORI;DONOSO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO REGIONALISTA INDEPENDIENTE DEMÓCRATA
2018-08-17T00:00:00Z;PABLO ANDRÉS;PEÑALOZA;TORRES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-08-20T00:00:00Z;LUIS FELIPE;DELPIN;AGUILAR;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO DEMÓCRATA CRISTIANO
2018-08-12T00:00:00Z;MARCO ANTONIO;NÚÑEZ;LOZANO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-08-20T00:00:00Z;JAIME RODRIGO ALONSO;NORAMBUENA;ALEGRÍA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-08-20T00:00:00Z;ESKARLET CAROLINA;GARCÍA;RAMOS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-08-14T00:00:00Z;ELSON;BORQUEZ;YAÑEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);DEMOCRACIA REGIONAL PATAGÓNICA
2018-08-24T00:00:00Z;JUAN PABLO;ARRIAGADA;MORA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-09-03T00:00:00Z;JOSÉ FRANCISCO JUAN DIEGO;MONTALVA;FEUERHAKE;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-08-22T00:00:00Z;JOANNA ELENA;PÉREZ;OLEA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO DEMÓCRATA CRISTIANO
2019-03-25T00:00:00Z;JACQUELINE CARMEN;CASTILLO;ROBLERO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2019-03-19T00:00:00Z;LUIS FELIPE ANDRES;RAMOS;BARRERA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);LIBERAL DEL NORTE
2019-03-14T00:00:00Z;MARÍA JOSÉ;HOFFMANN;OPAZO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);UNIÓN DEMÓCRATA INDEPENDIENTE
2019-03-20T00:00:00Z;SONIA ROSA;SOTO;VILLALOBOS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);LIBERAL DEL NORTE
2017-03-31T00:00:00Z;IGNACIO ANTONIO;PONCE;ABARCA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);POR LA INTEGRACIÓN REGIONAL
2017-03-30T00:00:00Z;ELSON;BORQUEZ;YAÑEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);DEMOCRACIA REGIONAL PATAGÓNICA
2017-03-04T00:00:00Z;PAULA CAROLINA;ROJAS;ELGUETA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);CIUDADANOS
2017-03-31T00:00:00Z;CRISTIAN ALEJANDRO;VIVIAN;TRONCOSO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);UNIDOS RESULTA EN DEMOCRACIA
2017-03-31T00:00:00Z;HERNÁN VÍCTOR;SALDAÑA;CASTILLO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);UNIDOS RESULTA EN DEMOCRACIA
2017-03-28T00:00:00Z;GUILLERMO LEÓN;TEILLIER;DEL VALLE;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO COMUNISTA DE CHILE
2017-06-16T00:00:00Z;MANDIZA ROSA;BARBARIC;SCIARAFFIA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);POR LA INTEGRACIÓN REGIONAL
2017-03-04T00:00:00Z;ANDRÉS;VELASCO;BRAÑES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);CIUDADANOS
2017-06-13T00:00:00Z;JOSÉ FERNANDO;ZULETA;BOVE;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-03-21T00:00:00Z;CARLOS FERNANDO MARTÍN;DE URRESTI;LONGTON;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO PROGRESISTA
2017-03-31T00:00:00Z;CÉSAR ALEJANDRO;MONTENEGRO;AMPUERO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO HUMANISTA
2017-08-01T00:00:00Z;EDUARDO JAVIER;VERGARA;BALBORAN;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-08-01T00:00:00Z;EDUARDO JAVIER;VERGARA;BALBORAN;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-03-30T00:00:00Z;HERNAN;LARRAIN;FERNANDEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);UNIÓN DEMÓCRATA INDEPENDIENTE
2017-03-27T00:00:00Z;PAULA INÉS;CRUCES;PÉREZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);SOMOS AYSÉN
2017-03-31T00:00:00Z;CRISTIAN MANUEL;OSORIO;ALFARO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
