Fecha Declaración;Nombre;Apellido Paterno;Apellido Materno;Cargo;Tipo Declaración;Institución
2017-03-30T00:00:00Z;DAVID ORLANDO;ARCOS;SANZANA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);DEMOCRACIA REGIONAL PATAGÓNICA
2017-03-31T00:00:00Z;CLAUDIA ANDREA;MEZZANO;JURIC;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);UNIDOS RESULTA EN DEMOCRACIA
2017-03-31T00:00:00Z;SARA FILOMENA;HUENCHUPIL;DIAZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);WALLMAPUWEN
2017-03-30T00:00:00Z;EULOJIO IGNACIO;ASTETE;NAHUELCOY;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);WALLMAPUWEN
2017-04-24T00:00:00Z;VALERIA DEL ROSARIO;GALLARDO;HENRÍQUEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-03-31T00:00:00Z;MARCO ILICH;RIQUELME;GARCÍA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO FRENTE POPULAR
2017-03-29T00:00:00Z;GUSTAVO ADOLFO;HERNÁNDEZ;VALDIVIA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);FUERZA REGIONAL NORTE VERDE
2017-05-08T00:00:00Z;PAULA LORENA;ARRIAGADA;ORTIZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-01-31T00:00:00Z;ROXANA DEL PILAR;MIRANDA;MENESES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);ANDHA CHILE
2017-07-06T00:00:00Z;JORGE DANIEL IGNACIO;OSSA;VALENZUELA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);TODOS
2017-03-30T00:00:00Z;ROBERTO ANTONIO;MUÑOZ;ALBUERNO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO FRENTE POPULAR
2017-03-29T00:00:00Z;CARLOS ALBERTO;GÓMEZ;ROJAS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);FRENTE REGIONAL Y POPULAR
2017-03-30T00:00:00Z;LUCIANO;CRUZ-COKE;CARVALLO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO EVOLUCIÓN POLÍTICA
2017-05-01T00:00:00Z;MARIO ANTONIO;CHAPA;MONTECINOS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-03-31T00:00:00Z;OWANA HERMINIA;MADERA;MAC-KILRROY;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO FRENTE POPULAR
2018-08-16T00:00:00Z;YOHANNA ISABEL;ÑANCUPIL;TAPIA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-08-20T00:00:00Z;KARLA CATHERINE;URZÚA;URZÚA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-08-17T00:00:00Z;LORETO;FERNANDEZ;MARTINEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-08-20T00:00:00Z;GONZALO;PINTO;MUÑOZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-08-18T00:00:00Z;VALERIA DEL ROSARIO;GALLARDO;HENRÍQUEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-07-29T00:00:00Z;LUIS ANTONIO;JARA;CORREA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PAIS PROGRESISTA
2018-08-03T00:00:00Z;SERGIO FÉLIX;GALILEA;OCON;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-03-13T00:00:00Z;NICHOLAS;SHEA;CAREY;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);TODOS
2018-03-30T00:00:00Z;IGNACIO ANTONIO;PONCE;ABARCA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);POR LA INTEGRACIÓN REGIONAL
2019-03-28T00:00:00Z;JUAN ENRIQUE;PRIETO;URZÚA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO HUMANISTA
2019-03-29T00:00:00Z;MAURICIO ANDRÉS;ANDREWS;CARRASCO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2019-03-28T00:00:00Z;CATALINA VALESKA;VALENZUELA;MAUREIRA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO HUMANISTA
2018-04-11T00:00:00Z;SARA FILOMENA;HUENCHUPIL;DIAZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);WALLMAPUWEN
2019-03-28T00:00:00Z;ÓSCAR ANTONIO;ONELL;LUCERO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO HUMANISTA
2018-10-19T00:00:00Z;ROSA EUNICE;FUENZALIDA;TORRES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2018-10-25T00:00:00Z;GUILLERMO ABRAHAM;GONZÁLEZ;CASTRO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO IGUALDAD
2018-11-13T00:00:00Z;LILET;ROSAS;PEZO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2018-08-20T00:00:00Z;GASTÓN BERNABÉ;DELGADO;ÁLVAREZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2019-04-05T00:00:00Z;JUAN CRISTOBAL;LETURIA;INFANTE;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);UNIÓN DEMÓCRATA INDEPENDIENTE
2017-05-12T00:00:00Z;CRISTIAN HERNANDO;TAPIA;RAMOS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);MAS-REGIÓN
2018-03-31T00:00:00Z;JOSÉ ANTONIO;RAMÍREZ;ARRAYAS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-03-31T00:00:00Z;VERÓNICA GRACIELA;CIFUENTES;GUTIERREZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO PROGRESISTA
2018-03-31T00:00:00Z;VALERIA DEL ROSARIO;GALLARDO;HENRÍQUEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-03-29T00:00:00Z;JORGE EDUARDO;ARACENA;CERDA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);POR LA INTEGRACIÓN REGIONAL
2018-03-30T00:00:00Z;CRISTIAN ALFREDO;RODRÍGUEZ;SALAS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-09-03T00:00:00Z;VERÓNICA GRACIELA;CIFUENTES;GUTIERREZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PAIS PROGRESISTA
2018-09-23T00:00:00Z;RENZO ITALO;GALGANI;FONSECA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PAIS PROGRESISTA
2018-09-27T00:00:00Z;LEONARDO ENRIQUE;CUBILLOS;RAMÍREZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2018-10-30T00:00:00Z;MAURICIO ANDRÉS;ANDREWS;CARRASCO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2018-10-22T00:00:00Z;JACQUELINE CARMEN;CASTILLO;ROBLERO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2018-08-07T00:00:00Z;CAMILA;BRUNA;FAUNDES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-04-16T00:00:00Z;CECILIA LIZ;FARÍAS;RIVERA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);ANDHA CHILE
2017-03-07T00:00:00Z;CECILIA LIZ;FARÍAS;RIVERA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);ANDHA CHILE
2019-06-11T00:00:00Z;CLAUDIA MARGARITA;OJEDA;MOYA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO HUMANISTA
2019-06-24T00:00:00Z;FERNANDO PATRICIO;LEPE;MIRANDA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-03-26T00:00:00Z;GUILLERMO ISMAEL;ALLENDE;GONZÁLEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO PAÍS
2018-03-31T00:00:00Z;CRISTIAN ANTONIO;PEÑALOZA;RAMÍREZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);POR LA INTEGRACIÓN REGIONAL
2018-03-31T00:00:00Z;LUIS ANTONIO;CORTÉS;JIMÉNEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);POR LA INTEGRACIÓN REGIONAL
2018-10-16T00:00:00Z;OSCAR DAMIÁN;ARAYA;ZÚÑIGA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2019-01-13T00:00:00Z;ANGELA TERESA;GALLARDO;SUÁREZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);IZQUIERDA ANTICAPITALISTA DE LOS TRABAJADORES
2019-03-27T00:00:00Z;SANDRA TATIANA;VELÁSQUEZ;PALMA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO HUMANISTA
2018-06-18T00:00:00Z;MARCELO IVÁN;CÁRDENAS;ÁLVAREZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PAIS PROGRESISTA
2019-03-28T00:00:00Z;ANA GRICELLE;ABARCA;ABARCA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO HUMANISTA
2017-11-27T00:00:00Z;PEDRO PABLO;VALDIVIA;VICENCIO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);FEDERACIÓN REGIONALISTA VERDE SOCIAL
2017-11-28T00:00:00Z;JUAN FRANCISCO;GAMBOA;HIGUERA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO DE TRABAJADORES REVOLUCIONARIOS
2018-07-04T00:00:00Z;CAMILO ERNESTO;LAGOS;MIRANDA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PAIS PROGRESISTA
2018-10-18T00:00:00Z;RAÚL;RIVERA;GALLARDO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2018-10-10T00:00:00Z;MARIO FRANCISCO;PÉREZ;NAVARRO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2018-10-18T00:00:00Z;RICARDO OSVALDO;NAVARRETE;BETANZO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2018-12-07T00:00:00Z;MARIO;VARELA;HERRERA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);UNIÓN DEMÓCRATA INDEPENDIENTE
2018-12-18T00:00:00Z;MARITZA ISABEL;CABRERA;TORRES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2019-03-26T00:00:00Z;REMBERTO ARMANDO;BRAVO;ACEVEDO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO REGIONALISTA INDEPENDIENTE DEMÓCRATA
2019-04-09T00:00:00Z;CARLOS RODRIGO;CARAMORI;DONOSO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO REGIONALISTA INDEPENDIENTE DEMÓCRATA
2019-05-13T00:00:00Z;JAVIERA CATALINA;LOOMIS;RÍOS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO REVOLUCIÓN DEMOCRÁTICA
2019-10-10T00:00:00Z;KARLA CATHERINE;URZÚA;URZÚA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2019-10-11T00:00:00Z;PATRICIA IRENE;RUBIO;ESCOBAR;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2019-11-07T00:00:00Z;JAIME RODRIGO;ROMERO;ALVAREZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO SOCIALISTA DE CHILE
2019-10-25T00:00:00Z;VALERIA;VILLEGAS;MAYOR;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL DE CHILE
2020-05-13T00:00:00Z;FRANCISCO JAVIER;LETURIA;MERMOD;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO REPUBLICANO DE CHILE
2020-07-21T00:00:00Z;MARIO AGUSTIN;ZULOAGA;ORREGO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO NACIONAL CIUDADANO
2020-07-21T00:00:00Z;SANDRA MARIA;ACUÑA;QUIJON;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO NACIONAL CIUDADANO
2020-12-09T00:00:00Z;CAMILO ANDRE;BASTIAS;FLORES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);CIUDADANOS
2019-12-30T00:00:00Z;CAROLINA;CONTRERAS;BERRÍOS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO EVOLUCIÓN POLÍTICA
2020-01-31T00:00:00Z;VÍCTOR ALFONSO;VALENZUELA;GÓMEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO REGIONALISTA INDEPENDIENTE DEMÓCRATA
2021-01-01T00:00:00Z;ESTEBAN JACOB;PEREZ;CARDENAS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO CONSERVADOR CRISTIANO
2020-03-30T00:00:00Z;MAURICIO ANDRÉS;ANDREWS;CARRASCO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2020-03-30T00:00:00Z;JUAN ENRIQUE;PRIETO;URZÚA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO HUMANISTA
2020-12-28T00:00:00Z;JORGE ALEJANDRO;SEPULVEDA;ROSALES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO CONSERVADOR CRISTIANO
2021-08-27T00:00:00Z;FRANCISCO JAVIER;CHAHUÁN;CHAHUÁN;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);RENOVACIÓN NACIONAL
2020-04-26T00:00:00Z;JAVIERA CATALINA;LOOMIS;RÍOS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO REVOLUCIÓN DEMOCRÁTICA
2020-05-19T00:00:00Z;SAMUEL LUIS;VALENZUELA;SALAZAR;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);RENOVACIÓN NACIONAL
2020-03-31T00:00:00Z;GASTÓN BERNABÉ;DELGADO;ÁLVAREZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2020-03-31T00:00:00Z;FERNANDO PATRICIO;LEPE;MIRANDA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2020-03-31T00:00:00Z;CATALINA VALESKA;VALENZUELA;MAUREIRA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO HUMANISTA
2020-06-17T00:00:00Z;NICOLÁS;CERDA;DÍEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);RENOVACIÓN NACIONAL
2020-08-13T00:00:00Z;MARÍA IDILIA;GATICA;GAJARDO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO REPUBLICANO DE CHILE
2021-03-30T00:00:00Z;SANDRA TATIANA;VELÁSQUEZ;PALMA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO HUMANISTA
2021-11-30T00:00:00Z;JUAN CARLOS;GARCIA;PEREZ DE ARCE;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO LIBERAL DE CHILE
2021-08-23T00:00:00Z;DIEGO IGNACIO;SCHALPER;SEPÚLVEDA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);RENOVACIÓN NACIONAL
2021-08-16T00:00:00Z;SOFÍA SLOVENA;CID;VERSALOVIC;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);RENOVACIÓN NACIONAL
2021-08-11T00:00:00Z;JOSÉ GILBERTO;GARCÍA;RUMINOT;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);RENOVACIÓN NACIONAL
2021-11-10T00:00:00Z;JULIETTE CRISTINA;VILLALOBOS;CARES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO DE LA GENTE
2021-11-03T00:00:00Z;GONZALO ANDRES;CHACON;LARRAIN;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);RENOVACIÓN NACIONAL
2021-03-25T00:00:00Z;YANNA PATRICIA;SOBARZO;ORTEGA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);CIUDADANOS
2021-03-31T00:00:00Z;SERGIO;GAHONA;SALAZAR;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);UNIÓN DEMÓCRATA INDEPENDIENTE
2021-03-31T00:00:00Z;CAMILA ANTONIA AMARANTA;VALLEJO;DOWLING;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO COMUNISTA DE CHILE
2021-09-26T00:00:00Z;ALBERTO ANTONIO;PIZARRO;CHAÑILAO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2021-09-27T00:00:00Z;MAXIMILIANO;RÍOS;GALLEGUILLOS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2021-08-09T00:00:00Z;KARIN CLAUDIA;LUCK;URBAN;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);RENOVACIÓN NACIONAL
2022-04-10T00:00:00Z;GUSTAVO;SANHUEZA;DUEÑAS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);UNIÓN DEMÓCRATA INDEPENDIENTE
2022-03-04T00:00:00Z;MACARENA DEL CARMEN;BRAVO;ROJAS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO REPUBLICANO DE CHILE
2022-03-03T00:00:00Z;PATRICIO ALEJANDRO;MORALES;FERNÁNDEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO LIBERAL DE CHILE
2023-01-04T00:00:00Z;MARIA TERESA;VELIZ;GUERRA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL DE CHILE
2021-12-10T00:00:00Z;NICOLE DANIELA;TRONCOSO;HINOSTROZA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO LIBERAL DE CHILE
2021-11-29T00:00:00Z;CLAUDIA ALEJANDRA;ARIAS;OCHOA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO DE LA GENTE
2021-09-21T00:00:00Z;JOSÉ ALFREDO;TORO;KEMP;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2021-12-22T00:00:00Z;SOLANGE PATRICIA;GUTIÉRREZ;VIDELA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO LIBERAL DE CHILE
2021-12-31T00:00:00Z;GUILLERMO ANDRÉS;MORENO;BARRIOS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO LIBERAL DE CHILE
2021-12-28T00:00:00Z;MARÍA ANGÉLICA;CARRASCO;PATUELLI;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO HUMANISTA
2021-12-31T00:00:00Z;ALEJANDRA ISABEL;CORTES;VASQUEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO LIBERAL DE CHILE
2022-08-31T00:00:00Z;JACQUELINE CARMEN;CASTILLO;ROBLERO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL DE CHILE
2022-08-29T00:00:00Z;ALFONSO ARTURO;DE URRESTI;LONGTON;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO SOCIALISTA DE CHILE
2022-09-01T00:00:00Z;MACARENA ANDREA;INOSTROZA;TORRES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL DE CHILE
2022-08-25T00:00:00Z;ARACELI VICTORIA;FARIAS;JORQUERA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO REVOLUCIÓN DEMOCRÁTICA
